,"All U.S.-Mexican land gateways  2002  All personal vehicle passengers  199,020,692  All personal vehicles  89,849,415  All pedestrians  50,278,281  All bus passengers  3,926,154  All buses  309,360  All train passengers  15,108",All U.S.-Mexican land gateways,2002,All personal vehicle passengers,"199,020,692",All personal vehicles,"89,849,415",All pedestrians,"50,278,281",All bus passengers,"3,926,154",All buses,"309,360",All train passengers,"15,108","All U.S.-Mexican land gateways  2003  All personal vehicle passengers  193,697,482  All personal vehicles  88,068,391  All pedestrians  48,663,773  All bus passengers  3,746,885  All buses  319,087  All train passengers  12,101",All U.S.-Mexican land gateways.1,2003,All personal vehicle passengers.1,"193,697,482",All personal vehicles.1,"88,068,391",All pedestrians.1,"48,663,773",All bus passengers.1,"3,746,885",All buses.1,"319,087",All train passengers.1,"12,101","All U.S.-Mexican land gateways  2004  All personal vehicle passengers  190,936,607  All personal vehicles  91,133,889  All pedestrians  48,084,235  All bus passengers  3,388,517  All buses  269,027  All train passengers  12,664",All U.S.-Mexican land gateways.2,2004,All personal vehicle passengers.2,"190,936,607",All personal vehicles.2,"91,133,889",All pedestrians.2,"48,084,235",All bus passengers.2,"3,388,517",All buses.2,"269,027",All train passengers.2,"12,664","All U.S.-Mexican land gateways  2005  All personal vehicle passengers  186,067,448  All personal vehicles  91,556,319  All pedestrians  45,829,612  All bus passengers  3,169,779  All buses  256,396  All train passengers  17,833",All U.S.-Mexican land gateways.3,2005,All personal vehicle passengers.3,"186,067,448",All personal vehicles.3,"91,556,319",All pedestrians.3,"45,829,612",All bus passengers.3,"3,169,779",All buses.3,"256,396",All train passengers.3,"17,833","All U.S.-Mexican land gateways  2006  All personal vehicle passengers  179,255,014  All personal vehicles  88,295,570  All pedestrians  46,251,414  All bus passengers  3,187,282  All buses  262,862  All train passengers  21,504",All U.S.-Mexican land gateways.4,2006,All personal vehicle passengers.4,"179,255,014",All personal vehicles.4,"88,295,570",All pedestrians.4,"46,251,414",All bus passengers.4,"3,187,282",All buses.4,"262,862",All train passengers.4,"21,504","All U.S.-Mexican land gateways  2007  All personal vehicle passengers  164,534,262  All personal vehicles  81,788,235  All pedestrians  49,538,963  All bus passengers  3,389,055  All buses  265,162  All train passengers  20,482",All U.S.-Mexican land gateways.5,2007,All personal vehicle passengers.5,"164,534,262",All personal vehicles.5,"81,788,235",All pedestrians.5,"49,538,963",All bus passengers.5,"3,389,055",All buses.5,"265,162",All train passengers.5,"20,482","All U.S.-Mexican land gateways  2008  All personal vehicle passengers  157,981,839  All personal vehicles  78,856,542  All pedestrians  44,841,640  All bus passengers  3,455,630  All buses  266,414  All train passengers  22,016",All U.S.-Mexican land gateways.6,2008,All personal vehicle passengers.6,"157,981,839",All personal vehicles.6,"78,856,542",All pedestrians.6,"44,841,640",All bus passengers.6,"3,455,630",All buses.6,"266,414",All train passengers.6,"22,016"
15,All personal vehicle passengers,190936607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,All personal vehicles,91133889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,All pedestrians,48084235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,All bus passengers,3388517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,All buses,269027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,All train passengers,12664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,All U.S.-Mexican land gateways,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,All personal vehicle passengers,186067448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,All personal vehicles,91556319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,All pedestrians,45829612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,All bus passengers,3169779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,All buses,256396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,All train passengers,17833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,All U.S.-Mexican land gateways,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,All personal vehicle passengers,179255014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,All personal vehicles,88295570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,All pedestrians,46251414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,All bus passengers,3187282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,All buses,262862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,All train passengers,21504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,All U.S.-Mexican land gateways,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,All personal vehicle passengers,164534262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,All personal vehicles,81788235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,All pedestrians,49538963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,All bus passengers,3389055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,All buses,265162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,All train passengers,20482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,All U.S.-Mexican land gateways,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,All personal vehicle passengers,157981839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,All personal vehicles,78856542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,All pedestrians,44841640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,All bus passengers,3455630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,All buses,266414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
