,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Aviation fuel (excluding taxes),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Aviation gasolinea,108.4,120.1,112.0,104.7,102.7,99.0,95.7,100.5,111.6,112.8,97.5,105.9,130.6,132.3,128.8,149.3,181.9,223.1,268.2,284.9,327.3,244.2,302.8,380.3,397.1,393.2,398.6
2,Jet fuel kerosenea,86.8,79.6,76.6,65.2,61.0,58.0,53.4,54.0,65.1,61.3,45.2,54.3,89.9,77.5,72.1,87.2,120.7,173.5,199.8,216.5,305.2,170.4,220.1,305.4,310.4,297.9,277.2
3,Highway fuel (including taxes),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,"Gasoline, premiumb",N,134.0,134.9,132.1,131.6,130.2,130.5,133.6,141.3,141.6,125.0,135.7,169.3,165.7,155.6,177.7,206.8,249.1,280.5,303.3,351.9,260.7,304.7,379.2,392.2,384.3,371.3
5,"Gasoline, regularb",124.5,120.2,116.4,114.0,112.7,110.8,111.2,114.7,123.1,123.4,105.9,116.5,151.0,146.1,135.8,159.1,188.0,229.5,258.9,280.1,326.6,235.0,278.8,352.7,364.4,352.6,336.7
6,"Gasoline, all types",122.1,119.6,121.7,119.6,119.0,117.3,117.4,120.5,128.8,129.1,111.5,122.1,156.3,153.1,144.1,163.8,192.3,233.8,263.5,284.9,331.7,240.1,283.6,357.7,369.5,358.4,342.5
7,Diesel no. 2 (excluding taxes)a,81.8,78.9,72.5,64.8,61.9,60.2,55.4,56.0,68.1,64.2,49.4,58.4,93.5,84.2,76.2,94.4,124.3,178.6,209.6,226.7,315.0,183.4,231.4,311.7,320.2,312.2,292.3
8,Railroad fuel,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
9,Diesel,82.6,77.8,69.2,67.2,63.3,63.1,59.9,60.0,67.7,67.8,57.0,55.5,87.5,85.5,73.3,89.3,107.0,151.4,192.1,218.2,312.1,177.1,225.7,307.1,316.7,312.4,294.7
