,"All U.S.-Canadian land gateways  2002  All personal vehicle passengers  68,986,616  All personal vehicles  32,538,817  All bus passengers  4,212,863  All pedestrians  1,081,682  All train passengers  255,134  All buses  160,961",All U.S.-Canadian land gateways,2002,All personal vehicle passengers,"68,986,616",All personal vehicles,"32,538,817",All bus passengers,"4,212,863",All pedestrians,"1,081,682",All train passengers,"255,134",All buses,"160,961","All U.S.-Canadian land gateways  2003  All personal vehicle passengers  62,136,536  All personal vehicles  30,245,165  All bus passengers  3,779,970  All pedestrians  937,493  All train passengers  234,796  All buses  156,589",All U.S.-Canadian land gateways.1,2003,All personal vehicle passengers.1,"62,136,536",All personal vehicles.1,"30,245,165",All bus passengers.1,"3,779,970",All pedestrians.1,"937,493",All train passengers.1,"234,796",All buses.1,"156,589","All U.S.-Canadian land gateways  2004  All personal vehicle passengers  63,269,668  All personal vehicles  30,660,487  All bus passengers  3,890,380  All pedestrians  826,017  All train passengers  223,477  All buses  155,702",All U.S.-Canadian land gateways.2,2004,All personal vehicle passengers.2,"63,269,668",All personal vehicles.2,"30,660,487",All bus passengers.2,"3,890,380",All pedestrians.2,"826,017",All train passengers.2,"223,477",All buses.2,"155,702","All U.S.-Canadian land gateways  2005  All personal vehicle passengers  62,501,376  All personal vehicles  30,351,683  All bus passengers  3,854,858  All pedestrians  605,339  All train passengers  235,758  All buses  153,454",All U.S.-Canadian land gateways.3,2005,All personal vehicle passengers.3,"62,501,376",All personal vehicles.3,"30,351,683",All bus passengers.3,"3,854,858",All pedestrians.3,"605,339",All train passengers.3,"235,758",All buses.3,"153,454","All U.S.-Canadian land gateways  2006  All personal vehicle passengers  62,986,037  All personal vehicles  30,038,524  All bus passengers  3,499,103  All pedestrians  533,739  All train passengers  244,683  All buses  129,452",All U.S.-Canadian land gateways.4,2006,All personal vehicle passengers.4,"62,986,037",All personal vehicles.4,"30,038,524",All bus passengers.4,"3,499,103",All pedestrians.4,"533,739",All train passengers.4,"244,683",All buses.4,"129,452","All U.S.-Canadian land gateways  2007  All personal vehicle passengers  58,409,016  All personal vehicles  29,775,714  All bus passengers  3,684,631  All pedestrians  441,066  All train passengers  233,070  All buses  136,430",All U.S.-Canadian land gateways.5,2007,All personal vehicle passengers.5,"58,409,016",All personal vehicles.5,"29,775,714",All bus passengers.5,"3,684,631",All pedestrians.5,"441,066",All train passengers.5,"233,070",All buses.5,"136,430","All U.S.-Canadian land gateways  2008  All personal vehicle passengers  57,423,879  All personal vehicles  28,686,786  All bus passengers  3,404,305  All pedestrians  499,666  All train passengers  238,593  All buses  127,233",All U.S.-Canadian land gateways.6,2008,All personal vehicle passengers.6,"57,423,879",All personal vehicles.6,"28,686,786",All bus passengers.6,"3,404,305",All pedestrians.6,"499,666",All train passengers.6,"238,593",All buses.6,"127,233"
15,All personal vehicle passengers,63269668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,All personal vehicles,30660487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,All bus passengers,3890380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,All pedestrians,826017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,All train passengers,223477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,All buses,155702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,All U.S.-Canadian land gateways,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,All personal vehicle passengers,62501376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,All personal vehicles,30351683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,All bus passengers,3854858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,All pedestrians,605339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,All train passengers,235758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
